,ia générative,ia générale,cv,nlp,annee,mois
0,1.0,96.0,33.0,13.0,2019,1
1,2.0,91.0,30.0,10.0,2019,2
2,0.0,404.0,115.0,42.0,2019,3
3,0.0,185.0,52.0,26.0,2019,4
4,0.0,241.0,81.0,20.0,2019,5
5,2.0,262.0,58.0,23.0,2019,6
6,2.0,274.0,77.0,17.0,2019,7
7,0.0,200.0,35.0,13.0,2019,8
8,2.0,264.0,88.0,12.0,2019,9
9,1.0,509.0,115.0,51.0,2019,10
10,5.0,542.0,105.0,44.0,2019,11
11,1.0,541.0,97.0,60.0,2019,12
12,0.0,713.0,126.0,80.0,2020,1
13,0.0,495.0,140.0,45.0,2020,2
14,0.0,414.0,70.0,67.0,2020,3
15,0.0,377.0,60.0,47.0,2020,4
16,0.0,240.0,49.0,17.0,2020,5
17,0.0,272.0,75.0,19.0,2020,6
18,1.0,347.0,86.0,24.0,2020,7
19,0.0,298.0,81.0,32.0,2020,8
20,2.0,463.0,114.0,50.0,2020,9
21,0.0,670.0,135.0,41.0,2020,10
22,2.0,538.0,141.0,29.0,2020,11
23,7.0,497.0,113.0,37.0,2020,12
24,4.0,441.0,116.0,58.0,2021,1
25,0.0,471.0,110.0,28.0,2021,2
26,2.0,757.0,173.0,89.0,2021,3
27,1.0,660.0,166.0,72.0,2021,4
28,3.0,800.0,146.0,47.0,2021,5
29,0.0,989.0,204.0,87.0,2021,6
30,0.0,1009.0,194.0,78.0,2021,7
31,3.0,881.0,148.0,73.0,2021,8
32,1.0,977.0,186.0,94.0,2021,9
33,1.0,1577.0,336.0,111.0,2021,10
34,3.0,1042.0,254.0,72.0,2021,11
35,6.0,1243.0,292.0,127.0,2021,12
36,4.0,1378.0,298.0,121.0,2022,1
37,7.0,1113.0,278.0,86.0,2022,2
38,8.0,978.0,229.0,119.0,2022,3
39,8.0,1095.0,207.0,84.0,2022,4
40,5.0,902.0,185.0,54.0,2022,5
41,4.0,903.0,182.0,84.0,2022,6
42,3.0,698.0,185.0,59.0,2022,7
43,7.0,569.0,116.0,64.0,2022,8
44,6.0,746.0,162.0,72.0,2022,9
45,16.0,1422.0,285.0,112.0,2022,10
46,7.0,1039.0,178.0,68.0,2022,11
47,8.0,1052.0,196.0,69.0,2022,12
48,14.0,952.0,193.0,74.0,2023,1
49,11.0,885.0,180.0,73.0,2023,2
50,15.0,835.0,156.0,54.0,2023,3
51,13.0,607.0,147.0,40.0,2023,4
52,12.0,643.0,121.0,43.0,2023,5
53,37.0,798.0,147.0,53.0,2023,6
54,22.0,549.0,115.0,45.0,2023,7
55,28.0,410.0,104.0,28.0,2023,8
56,31.0,494.0,159.0,35.0,2023,9
57,53.0,592.0,194.0,56.0,2023,10
58,42.0,601.0,137.0,39.0,2023,11
59,78.0,580.0,134.0,37.0,2023,12
60,49.0,340.0,74.0,26.0,2024,1
61,52.0,417.0,82.0,23.0,2024,2
62,67.0,497.0,66.0,29.0,2024,3
63,58.0,389.0,48.0,12.0,2024,4
64,75.0,395.0,66.0,24.0,2024,5
65,161.0,936.0,176.0,44.0,2024,6
66,176.0,896.0,264.0,56.0,2024,7
67,126.0,627.0,101.0,22.0,2024,8
68,192.0,927.0,210.0,38.0,2024,9
69,317.0,1509.0,239.0,70.0,2024,10
70,199.0,904.0,180.0,52.0,2024,11
71,179.0,662.0,94.0,40.0,2024,12
72,181.0,744.0,115.0,29.0,2025,1
73,205.0,849.0,142.0,40.0,2025,2
74,256.0,1240.0,156.0,51.0,2025,3
75,273.0,1145.0,142.0,50.0,2025,4
76,222.0,882.0,155.0,35.0,2025,5
77,201.0,957.0,97.0,34.0,2025,6
78,264.0,967.0,115.0,41.0,2025,7
79,118.0,461.0,40.0,21.0,2025,8
80,323.0,1008.0,127.0,30.0,2025,9
81,391.0,1399.0,157.0,31.0,2025,10
