nuts2_code,period,nouveaute_count,influence_count,rupture_count,total_patents,region_name
NL41,1980-1989,31.833333333333336,10.666666666666668,118.91666666666667,3719.4921356421355,Noord-Brabant
ITC4,1980-1989,30.333333333333336,9.333333333333334,33.91666666666667,3930.2647491397493,Lombardia
UKJ1,1980-1989,27.575000000000003,4.583333333333334,26.40119047619048,1667.4536860800017,"Berkshire, Bucks and Oxon"
SE11,1980-1989,26.666666666666668,30.642857142857142,21.2,1812.7971055088701,Stockholm
FR10,1980-1989,23.916666666666668,87.16666666666667,41.25,12027.42012987013,Ile-de-France
ITH5,1980-1989,20.333333333333332,4.333333333333334,10.0,1132.571031746032,Emilia-Romagna
NL36,1980-1989,19.25,3.0,16.333333333333336,1174.1679653679653,NL36
UKJ2,1980-1989,18.608333333333334,5.0,26.517857142857146,1375.3833333333332,"Surrey, E/W Sussex"
ITC1,1980-1989,16.916666666666668,3.0,20.833333333333336,1670.6777777777777,Piemonte
UKI1,1980-1989,16.0,2.0,6.166666666666668,422.83761238761235,Inner London - West
DK01,1980-1989,15.0,17.333333333333336,4.5,846.9779220779221,Hovedstaden
SE22,1980-1989,13.5,13.5,7.75,1015.7781746031746,Sydsverige
UKH2,1980-1989,13.333333333333334,3.5,10.76666666666667,768.7337662337663,Bedfordshire and Hertfordshire
SE23,1980-1989,10.916666666666668,29.166666666666668,7.0,1183.4992063492064,Vastsverige
UKH3,1980-1989,10.916666666666668,1.3333333333333335,6.5166666666666675,543.4119047619048,Essex
NL22,1980-1989,10.75,0.7,11.666666666666668,611.2075757575758,Gelderland
UKI3,1980-1989,10.583333333333334,3.0,4.666666666666667,360.7754329004329,Inner London
NL32,1980-1989,10.5,1.0,3.5,1078.2016233766235,Noord-Holland
UKH6,1980-1989,10.5,1.0,10.166666666666668,399.20000000000005,UKH6
UKF1,1980-1989,9.916666666666668,1.25,5.5,550.1869047619048,Derbyshire and Nottinghamshire
UKJ3,1980-1989,9.916666666666668,4.75,6.75,599.1742424242424,Hampshire and Isle of Wight
DE11,1980-1989,9.533333333333333,203.54365079365078,3.25,5417.930518664341,Stuttgart
CH01,1980-1989,9.0,15.16666666666667,2.3333333333333335,1429.3261904761905,Region lemanique
CH02,1980-1989,9.0,23.116666666666667,1.0,1679.7492063492064,Espace Mittelland
UKE3,1980-1989,8.333333333333334,1.5,2.0,432.0392857142857,South Yorkshire
UKI7,1980-1989,7.5,3.0,7.166666666666667,527.391378066378,Outer London
UKD3,1980-1989,7.333333333333334,3.2,5.0,475.65238095238095,Greater Manchester
ES51,1980-1989,7.0,3.5,1.0,427.25952380952384,Cataluna
ITI4,1980-1989,7.0,3.0,2.5,608.7738095238095,Lazio
NL35,1980-1989,7.0,1.3333333333333335,9.5,373.90808080808085,NL35
UKF2,1980-1989,6.25,1.0,1.6666666666666667,475.81428571428575,Leicestershire
UKK7,1980-1989,6.166666666666667,7.0,10.101190476190476,655.3707792207792,UKK7
IE06,1980-1989,6.023809523809525,0.0,3.1904761904761907,152.875,Eastern and Midland
