year,country,gdp_per_capita,labor_productivity,pgf
1890,AUS,8650.49,11.28,4.2735
1891,AUS,9055.65,11.35,4.3317
1892,AUS,7753.44,9.4,3.5958
1893,AUS,7195.4,8.52,3.2783
1894,AUS,7307.34,8.45,3.2832
1895,AUS,6767.36,7.63,2.9937
1896,AUS,7150.91,7.88,3.1227
1897,AUS,6636.73,7.15,2.8525
1898,AUS,7551.33,7.97,3.2125
1899,AUS,7451.08,7.74,3.1295
1900,AUS,7788.27,7.96,3.2321
1901,AUS,7449.38,7.49,3.0586
1902,AUS,7418.06,7.44,3.0359
1903,AUS,7910.26,8.15,3.2506
1904,AUS,8334.27,8.43,3.3302
1905,AUS,8309.51,8.61,3.3373
1906,AUS,8746.95,9.06,3.482
1907,AUS,8958.56,9.1,3.4909
1908,AUS,9107.37,9.15,3.4558
1909,AUS,9665.26,9.67,3.6155
1910,AUS,10110.1,9.98,3.7097
1911,AUS,9904.3,10.0,3.666
1912,AUS,9894.01,9.77,3.6006
1913,AUS,10007.22,10.08,3.6561
1914,AUS,9754.84,9.66,3.4744
1915,AUS,9502.26,9.78,3.4204
1916,AUS,9466.75,9.86,3.4272
1917,AUS,9297.55,9.85,3.3984
1918,AUS,8929.69,9.64,3.3066
1919,AUS,9150.97,10.04,3.4489
1920,AUS,9248.01,10.1,3.4718
1921,AUS,9529.85,10.44,3.5522
1922,AUS,9826.5,10.63,3.6012
1923,AUS,10075.56,10.71,3.6014
1924,AUS,10512.96,11.2,3.7275
1925,AUS,10776.22,11.36,3.7597
1926,AUS,10814.01,11.49,3.7604
1927,AUS,10758.19,11.35,3.7003
1928,AUS,10579.62,11.4,3.6741
1929,AUS,10213.24,11.21,3.572
1930,AUS,9136.85,10.31,3.2407
1931,AUS,8448.53,10.6,3.2333
1932,AUS,8856.36,11.5,3.4956
1933,AUS,9397.09,11.68,3.6048
1934,AUS,9819.08,11.74,3.6693
1935,AUS,10319.22,11.98,3.7757
1936,AUS,10703.96,12.16,3.8435
1937,AUS,11149.91,12.53,3.9567
1938,AUS,11422.9,12.62,3.9882
1939,AUS,11343.79,12.63,3.9569
1940,AUS,11965.9,13.3,4.1571
1941,AUS,13173.12,14.47,4.5324
1942,AUS,14564.95,16.07,5.0361
1943,AUS,14947.98,17.01,5.3052
1944,AUS,14286.62,16.4,5.1398
1945,AUS,13422.81,15.41,4.8632
1946,AUS,12798.01,14.21,4.5541
1947,AUS,12932.81,13.82,4.5021
1948,AUS,13520.93,14.59,4.7526
1949,AUS,14043.59,15.01,4.9208
1950,AUS,14382.77,15.59,5.1243
1951,AUS,14568.62,16.14,5.2804
1952,AUS,14394.92,16.17,5.2529
1953,AUS,14564.57,16.57,5.3319
1954,AUS,15118.27,17.48,5.588
1955,AUS,15577.85,18.3,5.8087
1956,AUS,15734.87,18.8,5.9069
1957,AUS,15699.77,19.11,5.9134
1958,AUS,16117.46,20.04,6.0979
1959,AUS,16744.19,21.21,6.3648
1960,AUS,16779.74,21.28,6.3572
1961,AUS,16662.11,21.53,6.3613
1962,AUS,17271.14,22.38,6.5799
1963,AUS,18125.7,23.32,6.8299
1964,AUS,18836.41,23.9,6.9765
1965,AUS,18910.29,23.81,6.9035
1966,AUS,19648.8,24.52,7.0688
1967,AUS,20390.69,25.07,7.1793
1968,AUS,21445.65,26.26,7.4546
1969,AUS,22508.49,27.43,7.7212
1970,AUS,22952.35,27.52,7.7055
1971,AUS,22883.28,28.2,7.8047
1972,AUS,23113.34,28.83,7.8628
1973,AUS,23700.28,29.42,7.9561
1974,AUS,23638.99,28.95,7.7889
1975,AUS,24013.28,30.02,7.9607
1976,AUS,24627.57,30.52,8.0464
1977,AUS,24549.33,30.49,7.9664
1978,AUS,25279.31,31.77,8.2042
1979,AUS,25740.42,31.94,8.2103
1980,AUS,26231.94,32.29,8.262
1981,AUS,26893.61,33.23,8.4049
1982,AUS,25843.54,33.62,8.3118
1983,AUS,26662.68,34.55,8.5043
1984,AUS,27735.06,35.31,8.6874
1985,AUS,28453.58,35.22,8.684
1986,AUS,28762.6,35.24,8.6598
1987,AUS,29959.4,36.0,8.8512
1988,AUS,30615.4,35.89,8.8428
1989,AUS,31178.15,36.01,8.857
1990,AUS,30602.44,36.58,8.8475
1991,AUS,30344.37,37.42,8.9268
1992,AUS,31221.02,38.57,9.1637
1993,AUS,32176.35,38.66,9.2171
1994,AUS,33106.62,38.74,9.2646
1995,AUS,34002.7,39.91,9.4804
1996,AUS,34906.84,41.29,9.7371
1997,AUS,36124.36,42.69,10.0129
1998,AUS,37538.66,44.04,10.2781
1999,AUS,38578.7,44.41,10.3493
2000,AUS,38918.37,44.92,10.3796
2001,AUS,39956.27,46.48,10.6729
2002,AUS,40733.49,47.18,10.7883
2003,AUS,41965.65,48.27,10.9799
2004,AUS,42828.73,48.11,10.9291
2005,AUS,43470.16,48.29,10.9113
2006,AUS,44507.58,48.53,10.9305
2007,AUS,45262.24,49.08,10.9882
2008,AUS,45194.03,50.77,11.1591
2009,AUS,45248.98,50.35,11.0199
2010,AUS,45615.86,51.14,11.0814
2011,AUS,46741.93,51.74,11.1608
2012,AUS,47117.35,52.97,11.2729
2013,AUS,47507.89,53.88,11.3408
2014,AUS,47812.03,54.11,11.3125
2015,AUS,48415.73,55.46,11.486
2016,AUS,48753.22,55.3,11.4422
2017,AUS,49320.84,55.93,11.5397
2018,AUS,49623.69,55.95,11.5166
2019,AUS,48849.55,56.62,11.5194
2020,AUS,49305.15,57.69,11.6671
2021,AUS,50999.88,58.26,11.7908
2022,AUS,52129.28,57.56,11.7281
1890,AUT,4832.24,4.29,2.4251
1891,AUT,4966.75,4.45,2.4988
1892,AUT,5045.17,4.56,2.5427
1893,AUT,5038.27,4.59,2.5466
1894,AUT,5283.5,4.86,2.6766
1895,AUT,5378.59,4.99,2.7304
1896,AUT,5441.94,5.08,2.7638
1897,AUT,5460.69,5.18,2.7897
1898,AUT,5718.28,5.49,2.9265
1899,AUT,5773.81,5.6,2.9593
1900,AUT,5758.06,5.65,2.9571
1901,AUT,5884.63,5.76,3.0016
1902,AUT,5904.74,5.77,2.9929
1903,AUT,5905.94,5.76,2.9728
1904,AUT,5948.86,5.78,2.9746
1905,AUT,6242.47,6.05,3.0989
1906,AUT,6409.18,6.19,3.1596
1907,AUT,6761.58,6.52,3.3094
