,date,Industrie,Services
0,2019-01-01,21,154
1,2019-04-01,35,237
2,2019-07-01,44,308
3,2019-10-01,50,405
4,2020-01-01,59,503
5,2020-04-01,68,556
6,2020-07-01,78,628
7,2020-10-01,84,704
8,2021-01-01,92,797
9,2021-04-01,105,906
10,2021-07-01,123,1024
11,2021-10-01,146,1129
12,2022-01-01,161,1221
13,2022-04-01,172,1344
14,2022-07-01,180,1445
15,2022-10-01,201,1589
16,2023-01-01,210,1701
17,2023-04-01,216,1801
18,2023-07-01,225,1876
19,2023-10-01,234,1990
20,2024-01-01,248,2074
21,2024-04-01,256,2179
22,2024-07-01,272,2286
23,2024-10-01,282,2396
24,2025-01-01,296,2484
25,2025-04-01,309,2603
26,2025-07-01,325,2711
27,2025-10-01,331,2746
