,zone,ia,ia_rel,gen,gen_rel,total_offers
279,Cannes,193.0,0.0014309864167506969,37.0,0.00027433418352215433,134872.0
42,Versailles-Saint-Quentin,3047.0,0.0022578448437478,189.0,0.00014005010681599416,1349517.0
290,Nice,141.0,0.0017239692864478896,10.0,0.00012226732527999216,81788.0
275,Voiron,270.0,0.0008577255659400354,29.0,9.212607930467047e-05,314786.0
40,Saclay,3417.0,0.0038010378602059036,82.0,9.121600952206149e-05,898965.0
36,Paris,11116.0,0.0015100259282699647,641.0,8.707508276547746e-05,7361463.0
172,Lannion,228.0,0.0015641185711639648,12.0,8.232203006126132e-05,145769.0
240,Toulouse,3053.0,0.0012058442963920255,178.0,7.030471167958746e-05,2531836.0
56,Vendôme,51.0,0.000376636708047471,9.0,6.646530142014195e-05,135409.0
249,Grenoble,1754.0,0.0014991517057765203,77.0,6.581224706088488e-05,1169995.0
205,Pau,218.0,0.0003889044490312176,33.0,5.88708569634412e-05,560549.0
202,Mont-de-Marsan,33.0,0.00012014810985178093,16.0,5.82536290190453e-05,274661.0
35,Melun,122.0,0.0002905682037407084,20.0,4.763413176077186e-05,419867.0
139,Strasbourg,622.0,0.0003998485461134014,73.0,4.692756248597798e-05,1555589.0
179,Rennes,1475.0,0.0009039646356777375,72.0,4.4125731368676005e-05,1631701.0
174,Morlaix,13.0,6.907728685671777e-05,8.0,4.250909960413401e-05,188195.0
41,Seine-Yvelinoise,661.0,0.0007177994722382096,37.0,4.017939557157905e-05,920870.0
79,Caen,211.0,0.0002055102058705792,39.0,3.798529871541512e-05,1026713.0
188,Bordeaux,1300.0,0.0004838964833753641,99.0,3.685057834935465e-05,2686525.0
276,Aix-en-Provence,619.0,0.0005981710846610186,38.0,3.672132668355203e-05,1034821.0
166,Brest,683.0,0.0009182464853208283,25.0,3.361077911130411e-05,743809.0
110,Lille,859.0,0.0004953598221087335,56.0,3.2293539043177035e-05,1734093.0
247,Chambéry,101.0,0.0001684386074629977,19.0,3.1686470710860956e-05,599625.0
159,Nantes,1099.0,0.0004201976267054518,81.0,3.096997976627989e-05,2615436.0
287,Marseille,284.0,0.0003599356171501717,24.0,3.0417094407056768e-05,789030.0
31,Evry,290.0,0.00036681326548552794,23.0,2.909208657299015e-05,790593.0
151,La Ferté-Bernard,8.0,5.7880419054233955e-05,4.0,2.8940209527116978e-05,138216.0
203,Niort,408.0,0.0008127085304516707,14.0,2.788705741745929e-05,502025.0
293,Toulon,262.0,0.0003407128440939639,19.0,2.470818335032563e-05,768976.0
231,Montpellier,478.0,0.0003984910693816302,28.0,2.3342573101852817e-05,1199525.0
161,Sablé-sur-Sarthe,10.0,5.186345389857583e-05,4.0,2.074538155943033e-05,192814.0
80,Cherbourg en Cotentin,26.0,9.718572565964812e-05,5.0,1.8689562626855407e-05,267529.0
88,Le Havre,17.0,3.916888239658263e-05,8.0,1.843241524545065e-05,434018.0
90,Rouen,240.0,0.00021902086721312374,20.0,1.825173893442698e-05,1095786.0
138,Sélestat,50.0,0.0002266884892118948,4.0,1.8135079136951585e-05,220567.0
62,Belfort,147.0,0.0005294530785715572,5.0,1.8008608114678816e-05,277645.0
28,Cergy-Vexin,372.0,0.0003716565893114762,18.0,1.7983383353781106e-05,1000924.0
145,Angers,144.0,0.0001353148183821422,19.0,1.785403853653265e-05,1064185.0
207,Poitiers,123.0,0.00021056307648061794,10.0,1.711894930736731e-05,584148.0
92,Vernon-Gisors,20.0,8.488604049064132e-05,4.0,1.697720809812826e-05,235610.0
245,Bourg en Bresse,8.0,0.0001318326384654681,1.0,1.6479079808183512e-05,60683.0
182,Vannes,60.0,0.00010107952937371123,9.0,1.5161929406056686e-05,593592.0
248,Clermont-Ferrand,298.0,0.0003794462376886886,11.0,1.40064047468979e-05,785355.0
220,Bagnols-sur-Cèze,27.0,0.0001807955002008839,2.0,1.3392259274139547e-05,149340.0
112,Roubaix-Tourcoing,271.0,0.0005670428818332852,6.0,1.2554454948338417e-05,477918.0
218,Alès-Le Vigan,32.0,0.00018848031853173832,2.0,1.1780019908233645e-05,169779.0
149,Cholet,101.0,0.00016583393947553786,7.0,1.1493441349789751e-05,609043.0
288,Martigues-Salon,37.0,8.449494857226373e-05,5.0,1.1418236293549153e-05,437896.0
246,Bourgoin-Jallieu,36.0,6.776534367382281e-05,6.0,1.1294223945637136e-05,531245.0
78,Bernay,9.0,9.957184108334163e-05,1.0,1.106353789814907e-05,90387.0
71,Montbéliard,63.0,0.00023168067783146886,3.0,1.1032413230069946e-05,271926.0
32,Fontainebleau-Nemours,37.0,0.00018639704585871105,2.0,1.0075515992362759e-05,198501.0
45,Chartres,62.0,0.00014840311072068858,4.0,9.574394240044426e-06,417781.0
8,Mâcon,25.0,7.764819157361826e-05,3.0,9.31778298883419e-06,321965.0
7,La Vallée de la Bresle-Vimeu,26.0,0.00022589641780411306,1.0,8.688323761696655e-06,115097.0
238,Sète,6.0,5.064445063432175e-05,1.0,8.440741772386957e-06,118473.0
