,ia générative,ia générale,cv,nlp,annee,mois
0,2.390554441291569e-06,0.0002294932263639906,7.888829656262177e-05,3.1077207736790397e-05,2019,1
1,4.3066136666078095e-06,0.00019595092183065534,6.459920499911714e-05,2.1533068333039048e-05,2019,2
2,0.0,0.0005479927730062016,0.0001559880418210722,5.6969545708565504e-05,2019,3
3,0.0,0.00033175644414476773,9.325045997582661e-05,4.6625229987913305e-05,2019,4
4,0.0,0.0003869788831564631,0.00013006344205673657,3.211443013746582e-05,2019,5
5,2.965216527523881e-06,0.00038844336510562844,8.599127929819255e-05,3.4099990066524634e-05,2019,6
6,2.7364497847782246e-06,0.00037489362051461674,0.00010535331671396164,2.325982317061491e-05,2019,7
7,0.0,0.00027949394825728537,4.891144094502494e-05,1.8167106636723547e-05,2019,8
8,2.2940909951193214e-06,0.0003028200113557504,0.00010094000378525014,1.3764545970715929e-05,2019,9
9,1.0507722650762178e-06,0.0005348430829237948,0.00012083881048376505,5.358938551888711e-05,2019,10
10,5.859514621246835e-06,0.0006351713849431568,0.0001230498070461835,5.1563728666972146e-05,2019,11
11,1.179562429521145e-06,0.0006381432743709394,0.00011441755566355105,7.07737457712687e-05,2019,12
12,0.0,0.0007176597648531918,0.00012682346475666504,8.052283476613653e-05,2020,1
13,0.0,0.0004654110284549482,0.00013163140198725807,4.2310093495904385e-05,2020,2
14,0.0,0.0005180867332253777,8.759920610090927e-05,8.384495441087031e-05,2020,3
15,0.0,0.0006716467102672869,0.000106893375639356,8.373314425082887e-05,2020,4
16,0.0,0.0004017328075097253,8.202044819990225e-05,2.845607386527221e-05,2020,5
17,0.0,0.0003060657276150053,8.439312342325514e-05,2.1379591267224637e-05,2020,6
18,1.0894112494784444e-06,0.0003780257035690202,9.368936745514622e-05,2.6145869987482663e-05,2020,7
19,0.0,0.00032254887210720744,8.767268000229464e-05,3.463612049473369e-05,2020,8
20,1.768929983097874e-06,0.00040950729108715783,0.00010082900903657882,4.422324957744685e-05,2020,9
21,0.0,0.000575726511002821,0.00011600459550056842,3.523102530017263e-05,2020,10
22,2.2405398804896026e-06,0.0006027052278517031,0.000157958061574517,3.248782826709924e-05,2020,11
23,6.7954963333443355e-06,0.0004824802396674478,0.00010969872652398714,3.59190520476772e-05,2020,12
24,3.4509265306368944e-06,0.0003804646500027176,0.00010007686938846994,5.003843469423497e-05,2021,1
25,0.0,0.000406757880610085,9.499653262655913e-05,2.4180935577669595e-05,2021,2
26,1.0636951279572053e-06,0.00040260860593180223,9.200962856829827e-05,4.7334433194095644e-05,2021,3
27,4.743830766683697e-07,0.000313092830601124,7.874759072694937e-05,3.415558152012262e-05,2021,4
28,1.4226761296759809e-06,0.0003793803012469282,6.92369049775644e-05,2.228859269825703e-05,2021,5
29,0.0,0.0004314137240164836,8.898725955446172e-05,3.795044892763809e-05,2021,6
30,0.0,0.0003579105684712359,6.881531247117915e-05,2.7668012230680278e-05,2021,7
31,1.2520925596903825e-06,0.000367697848362409,6.17698996113922e-05,3.0467585619132643e-05,2021,8
32,3.4433162992476007e-07,0.0003364120024364906,6.404568316600538e-05,3.236717321292745e-05,2021,9
33,3.4348727517040405e-07,0.0005416794329437272,0.00011541172445725575,3.812708754391485e-05,2021,10
34,1.4555383963751272e-06,0.0005055570030076275,0.00012323558422642743,3.4932921513003055e-05,2021,11
35,2.242435703762284e-06,0.0004645579299627531,0.00010913187091643115,4.7464889062968345e-05,2021,12
36,1.5791495411188826e-06,0.0005440170169154551,0.00011764664081335676,4.7769273618846205e-05,2022,1
