,date,Industrie,Services
0,2019-01-01,0,1
1,2019-04-01,0,1
2,2019-07-01,0,2
3,2019-10-01,0,4
4,2020-01-01,0,4
5,2020-04-01,0,4
6,2020-07-01,0,6
7,2020-10-01,1,7
8,2021-01-01,1,8
9,2021-04-01,1,9
10,2021-07-01,1,10
11,2021-10-01,1,14
12,2022-01-01,3,16
13,2022-04-01,4,19
14,2022-07-01,4,21
15,2022-10-01,5,25
16,2023-01-01,5,34
17,2023-04-01,6,45
18,2023-07-01,8,64
19,2023-10-01,13,85
20,2024-01-01,14,115
21,2024-04-01,21,157
22,2024-07-01,26,211
23,2024-10-01,30,262
24,2025-01-01,33,322
25,2025-04-01,37,373
26,2025-07-01,43,443
27,2025-10-01,48,471
