annee,brevets_total,brevets_ia,ia_observes,ia_predits,part_ia_pct
1990,15976,80,12,71,0.501
1991,17218,77,19,63,0.447
1992,17424,66,23,51,0.379
1993,16480,100,27,80,0.607
1994,15201,109,54,66,0.717
1995,15381,90,27,72,0.585
1996,14829,103,35,84,0.695
1997,14409,91,34,68,0.632
1998,14451,116,33,96,0.803
1999,14154,128,51,90,0.904
2000,14117,117,30,92,0.829
2001,14614,159,56,121,1.088
2002,15914,148,40,117,0.93
2003,18109,205,67,149,1.132
2004,20569,198,65,151,0.963
2005,19903,199,62,150,1.0
2006,22692,223,71,170,0.983
2007,21498,179,58,135,0.833
2008,24129,193,60,146,0.8
2009,26038,200,73,141,0.768
2010,27762,195,72,148,0.702
2011,32375,254,89,181,0.785
2012,30284,204,68,145,0.674
2013,28858,181,50,142,0.627
2014,28680,203,69,148,0.708
2015,28905,206,73,145,0.713
2016,30953,209,77,144,0.675
2017,31659,244,91,167,0.771
2018,32395,330,55,282,1.019
2019,34945,477,14,466,1.365
2020,36013,714,18,701,1.983
2021,34884,772,7,766,2.213
2022,33918,800,4,798,2.359
2023,35806,864,2,862,2.413
2024,37528,990,0,990,2.638
