annee,ipc4,brevets_ia
1995,G06F,40
1996,G06F,39
1997,G06F,41
1998,G06F,35
1999,G06F,51
2000,G06F,50
2001,G06F,57
2002,G06F,61
2003,G06F,80
2004,G06F,79
2005,G06F,98
2006,G06F,112
2007,G06F,75
2008,G06F,75
2009,G06F,80
2010,G06F,86
2011,G06F,98
2012,G06F,57
2013,G06F,67
2014,G06F,70
2015,G06F,77
2016,G06F,69
2017,G06F,78
2018,G06F,109
2019,G06F,136
2020,G06F,168
2021,G06F,209
2022,G06F,190
2023,G06F,188
2024,G06F,253
1995,G06N,33
1996,G06N,29
1997,G06N,20
1998,G06N,16
1999,G06N,17
2000,G06N,11
2001,G06N,10
2002,G06N,15
2003,G06N,16
2004,G06N,15
2005,G06N,16
2006,G06N,19
2007,G06N,17
2008,G06N,15
2009,G06N,13
2010,G06N,30
2011,G06N,22
2012,G06N,28
2013,G06N,13
2014,G06N,13
2015,G06N,19
2016,G06N,25
2017,G06N,46
2018,G06N,79
2019,G06N,142
2020,G06N,278
2021,G06N,336
2022,G06N,437
2023,G06N,392
2024,G06N,493
1995,G10L,23
1996,G10L,32
1997,G10L,31
1998,G10L,66
1999,G10L,51
2000,G10L,40
2001,G10L,70
2002,G10L,74
2003,G10L,77
2004,G10L,80
2005,G10L,78
2006,G10L,79
2007,G10L,60
2008,G10L,51
2009,G10L,42
2010,G10L,33
2011,G10L,44
2012,G10L,27
2013,G10L,21
2014,G10L,36
2015,G10L,43
2016,G10L,41
2017,G10L,35
2018,G10L,60
2019,G10L,62
2020,G10L,84
2021,G10L,84
2022,G10L,101
2023,G10L,94
2024,G10L,107
1995,G06T,7
1996,G06T,16
1997,G06T,12
1998,G06T,7
1999,G06T,11
2000,G06T,12
2001,G06T,19
2002,G06T,10
2003,G06T,24
2004,G06T,14
2005,G06T,24
2006,G06T,15
2007,G06T,26
2008,G06T,22
2009,G06T,21
2010,G06T,19
2011,G06T,40
2012,G06T,18
2013,G06T,17
2014,G06T,24
2015,G06T,16
2016,G06T,19
2017,G06T,21
2018,G06T,30
2019,G06T,45
2020,G06T,71
2021,G06T,94
2022,G06T,104
2023,G06T,113
2024,G06T,124
1995,G06V,9
1996,G06V,2
1997,G06V,7
1998,G06V,2
1999,G06V,3
2000,G06V,4
2001,G06V,3
2002,G06V,7
2003,G06V,4
2004,G06V,11
2005,G06V,8
2006,G06V,5
2007,G06V,11
2008,G06V,9
2009,G06V,11
2010,G06V,13
2011,G06V,20
2012,G06V,21
2013,G06V,19
2014,G06V,10
2015,G06V,12
2016,G06V,18
2017,G06V,19
2018,G06V,26
2019,G06V,38
2020,G06V,83
2021,G06V,94
2022,G06V,98
2023,G06V,126
2024,G06V,164
1995,G06K,12
1996,G06K,14
1997,G06K,5
1998,G06K,6
1999,G06K,8
2000,G06K,13
2001,G06K,15
2002,G06K,15
2003,G06K,21
2004,G06K,14
2005,G06K,18
2006,G06K,13
2007,G06K,20
2008,G06K,20
2009,G06K,25
2010,G06K,16
2011,G06K,18
2012,G06K,13
2013,G06K,15
2014,G06K,25
2015,G06K,24
2016,G06K,21
2017,G06K,30
2018,G06K,35
2019,G06K,36
2020,G06K,59
2021,G06K,74
2022,G06K,84
2023,G06K,31
2024,G06K,24
1995,H04L,3
1996,H04L,3
1997,H04L,3
1998,H04L,2
1999,H04L,6
2000,H04L,6
2001,H04L,10
2002,H04L,8
2003,H04L,13
2004,H04L,14
2005,H04L,11
2006,H04L,11
2007,H04L,8
2008,H04L,11
2009,H04L,17
2010,H04L,14
2011,H04L,13
2012,H04L,13
2013,H04L,9
2014,H04L,14
2015,H04L,17
2016,H04L,11
2017,H04L,7
2018,H04L,17
2019,H04L,22
2020,H04L,28
2021,H04L,34
2022,H04L,32
2023,H04L,38
2024,H04L,58
1995,G06Q,3
1996,G06Q,1
1997,G06Q,1
1998,G06Q,4
1999,G06Q,6
2000,G06Q,11
2001,G06Q,11
2002,G06Q,5
2003,G06Q,11
2004,G06Q,4
2005,G06Q,5
2006,G06Q,11
2007,G06Q,7
2008,G06Q,7
2009,G06Q,11
2010,G06Q,9
2011,G06Q,4
2012,G06Q,10
2013,G06Q,12
2014,G06Q,9
2015,G06Q,6
2016,G06Q,20
2017,G06Q,17
2018,G06Q,20
2019,G06Q,28
2020,G06Q,36
2021,G06Q,33
2022,G06Q,39
2023,G06Q,32
2024,G06Q,46
1995,A61B,0
1996,A61B,2
1997,A61B,5
1998,A61B,2
1999,A61B,2
2000,A61B,6
2001,A61B,5
2002,A61B,3
2003,A61B,6
2004,A61B,5
2005,A61B,6
2006,A61B,0
2007,A61B,0
2008,A61B,7
2009,A61B,15
2010,A61B,6
2011,A61B,13
2012,A61B,5
2013,A61B,7
2014,A61B,6
2015,A61B,9
2016,A61B,9
2017,A61B,8
2018,A61B,10
2019,A61B,17
2020,A61B,37
2021,A61B,32
2022,A61B,33
2023,A61B,57
2024,A61B,50
1995,G05B,2
1996,G05B,10
1997,G05B,5
1998,G05B,2
1999,G05B,9
2000,G05B,3
2001,G05B,9
2002,G05B,3
2003,G05B,9
2004,G05B,5
2005,G05B,2
2006,G05B,8
2007,G05B,7
2008,G05B,8
2009,G05B,6
2010,G05B,9
2011,G05B,3
2012,G05B,4
2013,G05B,3
2014,G05B,6
2015,G05B,6
2016,G05B,3
2017,G05B,5
2018,G05B,12
2019,G05B,14
2020,G05B,36
2021,G05B,37
2022,G05B,32
2023,G05B,27
2024,G05B,39
1995,H04N,2
1996,H04N,5
1997,H04N,3
1998,H04N,4
1999,H04N,4
2000,H04N,3
2001,H04N,10
2002,H04N,3
2003,H04N,4
2004,H04N,10
2005,H04N,15
2006,H04N,8
2007,H04N,15
2008,H04N,10
2009,H04N,8
2010,H04N,14
2011,H04N,15
2012,H04N,6
2013,H04N,12
2014,H04N,11
2015,H04N,13
2016,H04N,11
2017,H04N,8
2018,H04N,14
2019,H04N,15
2020,H04N,18
2021,H04N,23
2022,H04N,18
2023,H04N,22
2024,H04N,15
1995,G01N,0
1996,G01N,2
1997,G01N,1
1998,G01N,0
1999,G01N,2
2000,G01N,1
2001,G01N,2
2002,G01N,3
2003,G01N,11
2004,G01N,2
2005,G01N,5
2006,G01N,3
2007,G01N,4
2008,G01N,8
2009,G01N,8
2010,G01N,6
2011,G01N,14
2012,G01N,12
2013,G01N,7
2014,G01N,9
2015,G01N,14
2016,G01N,10
2017,G01N,13
2018,G01N,10
2019,G01N,22
2020,G01N,28
2021,G01N,22
2022,G01N,29
2023,G01N,26
2024,G01N,31
1995,G16H,0
