annee,ipc4,part_pct
1995,G06F,30.77
1996,G06F,28.68
1997,G06F,34.17
1998,G06F,25.36
1999,G06F,33.33
2000,G06F,34.01
2001,G06F,29.23
2002,G06F,31.28
2003,G06F,32.52
2004,G06F,34.2
2005,G06F,37.98
2006,G06F,42.26
2007,G06F,33.48
2008,G06F,35.71
2009,G06F,36.36
2010,G06F,39.09
2011,G06F,37.84
2012,G06F,30.48
2013,G06F,38.73
2014,G06F,34.83
2015,G06F,35.98
2016,G06F,30.8
2017,G06F,30.83
2018,G06F,28.99
2019,G06F,26.72
2020,G06F,20.82
2021,G06F,21.82
2022,G06F,17.51
2023,G06F,18.54
2024,G06F,19.94
1995,G06N,25.38
1996,G06N,21.32
1997,G06N,16.67
1998,G06N,11.59
1999,G06N,11.11
2000,G06N,7.48
2001,G06N,5.13
2002,G06N,7.69
2003,G06N,6.5
2004,G06N,6.49
2005,G06N,6.2
2006,G06N,7.17
2007,G06N,7.59
2008,G06N,7.14
2009,G06N,5.91
2010,G06N,13.64
2011,G06N,8.49
2012,G06N,14.97
2013,G06N,7.51
2014,G06N,6.47
2015,G06N,8.88
2016,G06N,11.16
2017,G06N,18.18
2018,G06N,21.01
2019,G06N,27.9
2020,G06N,34.45
2021,G06N,35.07
2022,G06N,40.28
2023,G06N,38.66
2024,G06N,38.85
1995,G10L,17.69
1996,G10L,23.53
1997,G10L,25.83
1998,G10L,47.83
1999,G10L,33.33
2000,G10L,27.21
2001,G10L,35.9
2002,G10L,37.95
2003,G10L,31.3
2004,G10L,34.63
2005,G10L,30.23
2006,G10L,29.81
2007,G10L,26.79
2008,G10L,24.29
2009,G10L,19.09
2010,G10L,15.0
2011,G10L,16.99
2012,G10L,14.44
2013,G10L,12.14
2014,G10L,17.91
2015,G10L,20.09
2016,G10L,18.3
2017,G10L,13.83
2018,G10L,15.96
2019,G10L,12.18
2020,G10L,10.41
2021,G10L,8.77
2022,G10L,9.31
2023,G10L,9.27
2024,G10L,8.43
1995,G06T,5.38
1996,G06T,11.76
1997,G06T,10.0
1998,G06T,5.07
1999,G06T,7.19
2000,G06T,8.16
2001,G06T,9.74
2002,G06T,5.13
2003,G06T,9.76
2004,G06T,6.06
2005,G06T,9.3
2006,G06T,5.66
2007,G06T,11.61
2008,G06T,10.48
2009,G06T,9.55
2010,G06T,8.64
2011,G06T,15.44
2012,G06T,9.63
2013,G06T,9.83
2014,G06T,11.94
2015,G06T,7.48
2016,G06T,8.48
2017,G06T,8.3
2018,G06T,7.98
2019,G06T,8.84
2020,G06T,8.8
2021,G06T,9.81
2022,G06T,9.59
2023,G06T,11.14
2024,G06T,9.77
1995,G06V,6.92
1996,G06V,1.47
1997,G06V,5.83
1998,G06V,1.45
1999,G06V,1.96
2000,G06V,2.72
2001,G06V,1.54
2002,G06V,3.59
2003,G06V,1.63
2004,G06V,4.76
2005,G06V,3.1
2006,G06V,1.89
2007,G06V,4.91
2008,G06V,4.29
2009,G06V,5.0
2010,G06V,5.91
2011,G06V,7.72
2012,G06V,11.23
2013,G06V,10.98
2014,G06V,4.98
2015,G06V,5.61
2016,G06V,8.04
2017,G06V,7.51
2018,G06V,6.91
2019,G06V,7.47
2020,G06V,10.29
2021,G06V,9.81
2022,G06V,9.03
2023,G06V,12.43
2024,G06V,12.92
1995,G06K,9.23
1996,G06K,10.29
1997,G06K,4.17
1998,G06K,4.35
1999,G06K,5.23
2000,G06K,8.84
2001,G06K,7.69
2002,G06K,7.69
2003,G06K,8.54
2004,G06K,6.06
2005,G06K,6.98
2006,G06K,4.91
2007,G06K,8.93
2008,G06K,9.52
2009,G06K,11.36
2010,G06K,7.27
2011,G06K,6.95
2012,G06K,6.95
2013,G06K,8.67
2014,G06K,12.44
2015,G06K,11.21
2016,G06K,9.38
2017,G06K,11.86
2018,G06K,9.31
2019,G06K,7.07
2020,G06K,7.31
2021,G06K,7.72
2022,G06K,7.74
2023,G06K,3.06
2024,G06K,1.89
1995,H04L,2.31
1996,H04L,2.21
1997,H04L,2.5
1998,H04L,1.45
1999,H04L,3.92
2000,H04L,4.08
2001,H04L,5.13
2002,H04L,4.1
2003,H04L,5.28
2004,H04L,6.06
2005,H04L,4.26
2006,H04L,4.15
2007,H04L,3.57
2008,H04L,5.24
2009,H04L,7.73
2010,H04L,6.36
2011,H04L,5.02
2012,H04L,6.95
2013,H04L,5.2
2014,H04L,6.97
2015,H04L,7.94
2016,H04L,4.91
2017,H04L,2.77
2018,H04L,4.52
2019,H04L,4.32
2020,H04L,3.47
2021,H04L,3.55
2022,H04L,2.95
2023,H04L,3.75
2024,H04L,4.57
1995,G06Q,2.31
1996,G06Q,0.74
1997,G06Q,0.83
1998,G06Q,2.9
1999,G06Q,3.92
2000,G06Q,7.48
2001,G06Q,5.64
2002,G06Q,2.56
2003,G06Q,4.47
2004,G06Q,1.73
2005,G06Q,1.94
2006,G06Q,4.15
2007,G06Q,3.12
2008,G06Q,3.33
2009,G06Q,5.0
2010,G06Q,4.09
2011,G06Q,1.54
2012,G06Q,5.35
2013,G06Q,6.94
2014,G06Q,4.48
2015,G06Q,2.8
2016,G06Q,8.93
2017,G06Q,6.72
2018,G06Q,5.32
2019,G06Q,5.5
2020,G06Q,4.46
2021,G06Q,3.44
2022,G06Q,3.59
2023,G06Q,3.16
2024,G06Q,3.62
