code_pays,pays,brevets_ia_pondere,brevets_total_pondere,part_ia_pct
US,États-Unis,3157.0,298782.3,1.057
JP,Japon,1503.8,172996.2,0.869
DE,Allemagne,1344.8,117869.3,1.141
CN,Chine,728.9,38793.6,1.879
FR,France,657.3,52676.2,1.248
GB,Royaume-Uni,521.7,35078.3,1.487
KR,Corée du Sud,395.9,34199.5,1.157
NL,Pays-Bas,250.4,20720.1,1.209
IN,Inde,242.3,6735.2,3.598
CA,Canada,203.3,17328.7,1.173
CH,Suisse,159.4,19374.5,0.823
IL,Israël,155.1,9858.6,1.573
SE,Suède,141.6,12274.9,1.154
IT,Italie,128.0,17830.6,0.718
ES,Espagne,91.7,8268.2,1.109
BE,Belgique,86.6,11429.9,0.758
AU,Australie,85.8,9886.6,0.868
AT,Autriche,64.5,7537.0,0.856
DK,Danemark,64.4,5897.2,1.091
FI,Finlande,48.6,7344.8,0.662
IE,Irlande,41.7,1808.8,2.306
TW,Taïwan,38.7,6163.3,0.628
SG,Singapour,34.0,2613.0,1.301
PL,Pologne,24.4,1940.2,1.259
RU,Russie,22.8,2243.3,1.016
