annee,publications_mappees,publications_citees
1990,86,1390
1991,93,1532
1992,93,1650
1993,97,1728
1994,88,1785
1995,72,1884
1996,98,2069
1997,80,2107
1998,101,2389
1999,115,2402
2000,142,2442
2001,150,2306
2002,181,9307
2003,166,5418
2004,201,3837
2005,153,5285
2006,135,4506
2007,133,4251
2008,155,4025
2009,143,3843
2010,144,3595
2011,140,3508
2012,118,3080
2013,121,2850
2014,137,2593
2015,148,2583
2016,170,2804
2017,197,3042
2018,187,3045
2019,302,2296
2020,382,1246
2021,437,376
2022,376,46
2023,64,16
