year,technology,novelty_index,avg_backward_sum,total_patents
1983,A61K,0.14200213351330174,35962.76272276917,1180.3787567786114
1984,A61K,0.14244518875543513,45257.696350722574,1497.157099027566
1985,A61K,0.13973037644527475,53187.35906785971,1848.4608139295058
1986,A61K,0.16201134193692113,57877.76200041253,2094.248705020086
1987,A61K,0.14487478741151089,64309.691612717324,2500.108414930872
1988,A61K,0.14712370574229708,69848.18311132037,2642.3800768559604
1989,A61K,0.12813894081472416,78281.35299053877,3000.048090144226
1990,A61K,0.13029483152368787,84709.83376989473,3328.5394456747067
1991,A61K,0.11442031679897939,92504.42272505318,3047.933565921547
1992,A61K,0.11954610111022404,97083.73753785319,3202.459066986354
1993,A61K,0.138422621703282,96050.8337313302,3243.1814161461484
1994,A61K,0.13552669757058367,96868.44109086777,3575.464081896708
1995,A61K,0.1383447207515643,97414.5251072962,3962.720696053509
1996,A61K,0.14224321594784106,98613.05406963702,4261.7194020509
1997,A61K,0.13524662577960705,103502.44621049635,4890.612444059459
1998,A61K,0.1383978114819025,111193.24249335004,5477.704748281072
1999,A61K,0.1199242538785382,123546.05082811226,5977.890575968731
2000,A61K,0.1180781928742698,135382.4386090472,6383.227881589618
2001,A61K,0.11304218784583717,150044.0337848307,6742.164528742493
2002,A61K,0.11309921615823207,162601.59042895073,7052.007299363236
2003,A61K,0.10654608388010452,172730.35670649912,7223.473020492677
2004,A61K,0.10811868202384804,180135.69459397666,7125.573209134672
2005,A61K,0.10808815747129615,187481.7228038313,7226.679801926243
2006,A61K,0.10076693392416022,195063.91287686967,7887.240348625429
2007,A61K,0.1015370352080008,203159.09790431967,7426.7102369743125
2008,A61K,0.10283688469660826,209479.16250096232,7059.38744696246
2009,A61K,0.10697415772998921,212722.29982502808,7148.854811195581
2010,A61K,0.11513358563715174,213258.7925357811,7621.493362590433
2011,A61K,0.11661219072634561,214293.3466142337,8031.012495226575
2012,A61K,0.11750153451457747,215225.2425568224,8042.896758057242
2013,A61K,0.11829907788445972,223444.49134747757,8671.349983586148
2014,A61K,0.11253098513844939,235227.7114664343,9347.109075875718
2015,A61K,0.11476741615065085,239511.37722865917,9691.789848896056
2016,A61K,0.12273713129255402,239275.11972229937,10493.77424467992
2017,A61K,0.11169743310533617,254191.16617044434,10333.10506750744
2018,A61K,0.1089575947457204,267146.40294232813,10555.719281419333
2019,A61K,0.11132843341047066,274858.08973105566,10468.083161444341
2020,A61K,0.10680321370652554,281861.0297939097,10435.37883194797
2021,A61K,0.10441596846374304,291396.68010696967,10272.806278864555
2022,A61K,0.09849437710308241,300481.09271622804,8709.648990676389
2023,A61K,0.09453842178787357,291876.3320155599,5458.523198744208
2024,A61K,0.12226411604103415,264549.86971769604,358.97636299735666
1983,C12N,0.1495438655967185,35646.65293738567,386.6086586284195
1984,C12N,0.15940739037920906,44362.5113894087,578.7623237873238
1985,C12N,0.15603195096041778,52179.491681439984,691.6225611747351
1986,C12N,0.14872447565215904,58795.4523261244,763.4443441405515
1987,C12N,0.15660857927366942,63427.25179572369,875.7324932589386
1988,C12N,0.136468710050803,70720.79745776266,985.6424871767902
1989,C12N,0.14259575068876945,76983.3266307828,1012.1489971376013
1990,C12N,0.12124343819146355,85591.44520828822,1018.8880393678526
